Country/Region,Continent,Population,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,WHO Region
USA,North America,330981104,2552956,,127640,,1068703,,1356613,15765,7713,386,31352500,94726,Americas
Brazil,South America,212541690,1280054,,56109,,697526,,526419,8318,6023,264,2925935,13766,Americas
Russia,Europe,145933938,620794,,8781,,384152,,227861,2300,4254,60,18402719,126103,Europe
India,Asia,1379826344,509446,,15689,,295917,,197840,8944,369,11,7776228,5636,South-EastAsia
UK,Europe,67882162,309360,,43414,,,,,311,4557,640,8911226,131275,Europe
Spain,Europe,46754627,294985,,28338,,,,,617,6309,606,5162909,110426,Europe
Peru,South America,32964854,272364,,8939,,159806,,103619,1172,8262,271,1604521,48674,Americas
Chile,South America,19114153,263360,,5068,,223431,,34861,2086,13778,265,1043330,54584,Americas
Italy,Europe,60462488,239961,,34708,,187615,,17638,105,3969,574,5215922,86267,Europe
Iran,Asia,83977195,217724,,10239,,177852,,29633,2912,2593,122,1557872,18551,EasternMediterranean
Mexico,North America,128914507,208392,5441,25779,719,120562,3700,62051,378,1617,200,542120,4205,Americas
Pakistan,Asia,220814581,195745,,3962,,84168,,107615,2765,886,18,1193017,5403,EasternMediterranean
Turkey,Asia,84326725,194511,,5065,,167198,,22248,963,2307,60,3186622,37789,Europe
Germany,Europe,83781327,194399,,9026,,177100,,8273,364,2320,108,5412655,64605,Europe
Saudi Arabia,Asia,34805142,174577,,1474,,120471,,52632,2273,5016,42,1479759,42516,EasternMediterranean
France,Europe,65272172,162936,,29778,,75351,,57807,651,2496,456,1384633,21213,Europe
Bangladesh,Asia,164667742,130474,,1661,,53133,,75680,1,792,10,699941,4251,South-EastAsia
South Africa,Africa,59297807,124590,,2340,,64111,,58139,539,2101,39,1493104,25180,Africa
Canada,North America,37737992,102794,,8508,,65726,,28560,2085,2724,225,2598243,68850,Americas
Qatar,Asia,2807805,92784,,109,,76072,,16603,200,33045,39,341914,121773,EasternMediterranean
Colombia,South America,50875544,84442,,2811,,34937,,46694,335,1660,55,688959,13542,Americas
Sweden,Europe,10098554,65137,,5280,,,,,171,6450,523,444607,44027,Europe
Egypt,Africa,102299983,62755,,2620,,16737,,43398,41,613,26,135000,1320,EasternMediterranean
Belgium,Europe,11589102,61106,,9731,,16918,,34457,38,5273,840,1178721,101709,Europe
Belarus,Europe,9449348,60713,,373,,42689,,17651,89,6425,39,939524,99427,Europe
Argentina,South America,45190471,55343,,1184,,18416,,35743,457,1225,26,318721,7053,Americas
Ecuador,South America,17638795,53856,,4406,,26493,,22957,288,3053,250,142715,8091,Americas
Indonesia,Asia,273484557,51427,,2683,,21333,,27411,,188,10,731781,2676,South-EastAsia
Netherlands,Europe,17134521,50005,,6103,,,,,39,2918,356,577437,33700,Europe
UAE,Asia,9888695,46973,,310,,35469,,11194,1,4750,31,3136000,317130,EasternMediterranean
Kuwait,Asia,4269580,43703,,341,,33969,,9393,162,10236,80,372284,87195,EasternMediterranean
Singapore,Asia,5849784,42955,,26,,36825,,6104,1,7343,4,684359,116989,WesternPacific
Iraq,Asia,40204671,41193,,1559,,18859,,20775,247,1025,39,500723,12454,EasternMediterranean
Ukraine,Europe,43735136,41117,,1086,,18299,,21732,378,940,25,620624,14191,Europe
Portugal,Europe,10196909,40866,,1555,,26633,,12678,67,4008,152,1102066,108078,Europe
Oman,Asia,5103851,36034,,153,,19482,,16399,105,7060,30,176953,34670,EasternMediterranean
Philippines,Asia,109559319,34073,,1224,,9182,,23667,137,311,11,662647,6048,WesternPacific
Poland,Europe,37846927,33395,,1429,,19218,,12748,77,882,38,1447130,38236,Europe
Switzerland,Europe,8653873,31486,,1962,,29000,,524,12,3638,227,545177,62998,Europe
Afghanistan,Asia,38910996,30451,,683,,10306,,19462,19,783,18,69558,1788,EasternMediterranean
Panama,North America,4313667,29905,,575,,15270,,14060,148,6933,133,117266,27185,Americas
Dominican Republic,North America,10846472,29764,,712,,16357,,12695,181,2744,66,135969,12536,Americas
Bolivia,South America,11670618,29423,920,934,21,7736,398,20753,71,2521,80,68630,5881,Americas
Romania,Europe,19238321,25697,,1579,,18181,,5937,186,1336,82,675382,35106,Europe
Ireland,Europe,4937024,25414,,1730,,23364,,320,12,5148,350,415028,84064,Europe
Bahrain,Asia,1700005,24805,,73,,19137,,5595,48,14591,43,521101,306529,EasternMediterranean
Nigeria,Africa,206032229,23298,,554,,8253,,14491,7,113,3,125090,607,Africa
Armenia,Asia,2963193,23247,,410,,12149,,10688,10,7845,138,105046,35450,Europe
Israel,Asia,9197590,22800,,314,,16872,,5614,46,2479,34,920460,100076,Europe
Kazakhstan,Asia,18773513,20319,569,150,,12548,,7621,121,1082,8,1467556,78172,Europe
Japan,Asia,126479040,18197,,969,,16392,,836,51,144,8,440739,3485,WesternPacific
Austria,Europe,9005832,17522,,698,,16348,,476,10,1946,78,590442,65562,Europe
Honduras,North America,9902043,15994,628,471,45,1678,78,13845,13,1615,48,21540,2175,Americas
Ghana,Africa,31060677,15834,,103,,11755,,3976,6,510,3,286453,9222,Africa
Guatemala,North America,17909722,15828,209,672,49,3028,79,12128,5,884,38,31427,1755,Americas
Moldova,Europe,4034029,15776,,515,,8765,,6496,455,3911,128,63328,15698,Europe
Azerbaijan,Asia,10138016,15369,,187,,8364,,6818,66,1516,18,456215,45000,Europe
Serbia,Europe,8737589,13565,,265,,12232,,1068,26,1552,30,374875,42904,Europe
Algeria,Africa,43837260,12685,,885,,9066,,2734,48,289,20,,,Africa
Denmark,Europe,5792000,12675,,604,,11508,,563,11,2188,104,998736,172434,Europe
S. Korea,Asia,51268806,12653,51,282,,11317,145,1054,15,247,6,1243780,24260,WesternPacific
Cameroon,Africa,26531939,12592,,313,,10100,,2179,52,475,12,,,Africa
Nepal,Asia,29127705,11755,,27,,2698,,9030,,404,0.9,493020,16926,South-EastAsia
Morocco,Africa,36904364,11633,,218,,8656,,2759,7,315,6,620435,16812,EasternMediterranean
Czechia,Europe,10708800,11038,,349,,7668,,3021,13,1031,33,536312,50081,Europe
Sudan,Africa,43828543,9257,,572,,4014,,4671,,211,13,401,9,EasternMediterranean
Norway,Europe,5420728,8832,,249,,8138,,445,4,1629,46,313162,57771,Europe
Ivory Coast,Africa,26364556,8739,,64,,3587,,5088,,331,2,50914,1931,Africa
Malaysia,Asia,32359920,8606,,121,,8294,,191,2,266,4,729116,22531,WesternPacific
Australia,Australia/Oceania,25495732,7601,6,104,,6960,2,537,1,298,4,2311048,90645,WesternPacific
Uzbekistan,Asia,33461668,7427,,20,,5038,,2369,26,222,0.6,1121236,33508,Europe
Finland,Europe,5540643,7191,,328,,6600,,263,1,1298,59,237500,42865,Europe
DRC,Africa,89495791,6552,,149,,900,,5503,,73,2,,,Africa
Senegal,Africa,16734279,6354,,98,,4193,,2063,27,380,6,75294,4499,Africa
North Macedonia,Europe,2083375,5758,,268,,2206,,3284,55,2764,129,56809,27268,Europe
Tajikistan,Asia,9533413,5747,,52,,4331,,1364,,603,5,,,Europe
Haiti,North America,11400535,5722,179,98,2,641,129,4983,,502,9,11332,994,Americas
Kenya,Africa,53748171,5533,,137,,1905,,3491,7,103,3,158404,2947,Africa
El Salvador,North America,6485855,5517,,133,,3291,,2093,137,851,21,152729,23548,Americas
Ethiopia,Africa,114903773,5425,,89,,1688,,3648,27,47,0.8,237464,2067,Africa
Guinea,Africa,13124855,5260,,29,,4155,,1076,24,401,2,14407,1098,Africa
Gabon,Africa,2224664,5209,,40,,2327,,2842,10,2341,18,34774,15631,Africa
Venezuela,South America,28436486,4779,,41,,1327,,3411,9,168,1,1190307,41858,Americas
Djibouti,Africa,987776,4643,,52,,4348,,243,,4700,53,45998,46567,EasternMediterranean
Bulgaria,Europe,6948680,4513,,215,,2457,,1841,18,649,31,131043,18859,Europe
Kyrgyzstan,Asia,6522410,4204,,43,,2162,,1999,30,645,7,199853,30641,Europe
Luxembourg,Europe,625810,4173,,110,,3968,,95,1,6668,176,168786,269708,Europe
Hungary,Europe,9660521,4127,,578,,2663,,886,13,427,60,267056,27644,Europe
Bosnia and Herzegovina,Europe,3280924,3935,,178,,2338,,1419,4,1199,54,88548,26989,Europe
Mauritania,Africa,4646990,3907,,120,,1280,,2507,21,841,26,13842,2979,Africa
Greece,Europe,10423348,3343,,191,,1374,,1778,11,321,18,295851,28383,Europe
CAR,Africa,4828335,3340,,40,,661,,2639,2,692,8,22884,4740,
French Guiana,South America,298515,3270,,11,,1166,,2093,21,10954,37,8061,27004,
Thailand,Asia,69798329,3162,,58,,3040,,64,1,45,0.8,468175,6708,South-EastAsia
Somalia,Africa,15883150,2878,,90,,868,,1920,2,181,6,,,EasternMediterranean
Costa Rica,North America,5093524,2836,,12,,1280,,1544,6,557,2,38500,7559,Americas
Croatia,Europe,4105397,2539,,107,,2150,,282,,618,26,75437,18375,Europe
Mayotte,Africa,272679,2508,,32,,2218,,258,8,9198,117,8800,32272,
Cuba,North America,11326670,2325,,85,,2180,,60,1,205,8,159571,14088,Americas
Maldives,Asia,540381,2283,,8,,1863,,412,9,4225,15,46891,86774,South-EastAsia
Albania,Europe,2877821,2269,,51,,1298,,920,15,788,18,22183,7708,Europe
Nicaragua,North America,6623436,2170,,74,,1238,,858,,328,11,,,Americas
Mali,Africa,20237294,2060,,113,,1387,,560,,102,6,12807,633,Africa
Sri Lanka,Asia,21412328,2014,,11,,1619,,384,1,94,0.5,101226,4727,South-EastAsia
Equatorial Guinea,Africa,1401811,2001,,32,,515,,1454,,1427,23,16000,11414,Africa
Estonia,Europe,1326527,1986,,69,,1797,,120,1,1497,52,104299,78626,Europe
South Sudan,Africa,11191875,1942,,36,,224,,1682,1,174,3,10226,914,Africa
Madagascar,Africa,27675702,1922,,16,,862,,1044,20,69,0.6,20066,725,Africa
Iceland,Europe,341218,1832,,10,,1813,,9,,5369,29,73148,214373,Europe
Lithuania,Europe,2722344,1808,,78,,1501,,229,16,664,29,410867,150924,Europe
Paraguay,South America,7131278,1711,,13,,1013,,685,2,240,2,63974,8971,Americas
Lebanon,Asia,6825627,1697,,33,,1144,,520,6,249,5,125058,18322,EasternMediterranean
Slovakia,Europe,5459620,1643,,28,,1455,,160,,301,5,206362,37798,Europe
Guinea-Bissau,Africa,1967053,1614,,22,,191,,1401,5,821,11,1500,763,Africa
Slovenia,Europe,2078936,1558,,109,,1376,,73,2,749,52,98810,47529,Europe
Palestine,Asia,5099021,1557,,3,,446,,1108,,305,0.6,84621,16596,EasternMediterranean
Zambia,Africa,18372230,1531,,21,,1233,,277,1,83,1,52195,2841,Africa
New Zealand,Australia/Oceania,5002100,1522,2,22,,1484,,16,,304,4,387435,77454,WesternPacific
Sierra Leone,Africa,7973963,1394,,59,,914,,421,,175,7,,,Africa
Hong Kong,Asia,7496236,1197,,7,,1091,,99,1,160,0.9,321498,42888,WesternPacific
Tunisia,Africa,11816956,1164,,50,,1023,,91,,99,4,68542,5800,EasternMediterranean
Latvia,Europe,1886257,1112,,30,,932,,150,1,590,16,145086,76917,Europe
Jordan,Asia,10201800,1104,,9,,830,,265,3,108,0.9,362326,35516,EasternMediterranean
Yemen,Asia,29813140,1089,,293,,402,,394,,37,10,120,4,EasternMediterranean
Congo,Africa,5515246,1087,,37,,456,,594,,197,7,,,Africa
Niger,Africa,24182675,1059,,67,,919,,73,,44,3,6449,267,Africa
Benin,Africa,12116284,1053,,14,,292,,747,2,87,1,55478,4579,Africa
Cabo Verde,Africa,555905,1027,,10,,568,,449,,1847,18,1560,2806,Africa
Malawi,Africa,19119281,1005,,13,,260,,732,4,53,0.7,12578,658,Africa
Cyprus,Asia,1207255,992,,19,,824,,149,,822,16,151975,125885,Europe
Burkina Faso,Africa,20890404,941,,53,,830,,58,,45,3,,,Africa
Uruguay,South America,3473611,919,,26,,818,,75,2,265,7,62765,18069,Americas
Georgia,Asia,3989222,919,,14,,780,,125,5,230,4,98486,24688,Europe
Chad,Africa,16414951,865,,74,,778,,13,,53,5,,,Africa
Rwanda,Africa,12945471,858,,2,,398,,458,,66,0.2,130047,10046,Africa
Andorra,Europe,77264,855,,52,,799,,4,,11066,673,3750,48535,Europe
Uganda,Africa,45705250,833,,,,761,,72,,18,,170789,3737,Africa
Mozambique,Africa,31235488,816,,5,,223,,588,,26,0.2,27123,868,Africa
Eswatini,Africa,1160003,728,,8,,367,,353,5,628,7,6551,5647,Africa
Libya,Africa,6869884,713,,18,,142,,553,,104,3,23075,3359,EasternMediterranean
Diamond Princess,,,712,,13,,651,,48,4,,,,,
Sao Tome and Principe,Africa,219087,712,,13,,219,,480,,3250,59,1763,8047,Africa
San Marino,Europe,33930,698,,42,,656,,0,,20572,1238,5669,167079,Europe
Jamaica,North America,2961033,686,2,10,,539,13,137,,232,3,23331,7879,Americas
Liberia,Africa,5055266,684,,34,,285,,365,,135,7,,,Africa
Malta,Europe,441532,670,,9,,632,,29,,1517,20,92517,209536,Europe
Togo,Africa,8274788,591,,14,,395,,182,2,71,2,29347,3547,Africa
Channel Islands,Europe,173842,571,,47,,512,,12,,3285,270,10255,58990,
Zimbabwe,Africa,14859556,561,,6,,135,,420,,38,0.4,65704,4422,Africa
Réunion,Africa,895237,517,,2,,460,,55,3,578,2,17200,19213,
Tanzania,Africa,59695024,509,,21,,183,,305,7,9,0.4,,,Africa
Taiwan,Asia,23816384,447,,7,,435,,5,,19,0.3,76209,3200,WesternPacific
Montenegro,Europe,628065,439,,9,,315,,115,,699,14,13186,20995,Europe
Suriname,South America,586565,389,,10,,181,,198,8,663,17,1165,1986,Americas
Vietnam,Asia,97327460,353,,,,330,,23,1,4,,275000,2826,WesternPacific
Mauritius,Africa,1271749,341,,10,,326,,5,,268,8,171792,135083,Africa
Isle of Man,Europe,85028,336,,24,,312,,0,,3952,282,6158,72423,
Myanmar,Asia,54405596,293,,6,,215,,72,,5,0.1,68404,1257,South-EastAsia
Comoros,Africa,869247,272,,7,,161,,104,,313,8,,,Africa
Syria,Asia,17491838,255,,8,,102,,145,,15,0.5,,,EasternMediterranean
Martinique,North America,375267,242,,14,,98,,130,,645,37,,,
Mongolia,Asia,3277425,219,,,,175,5,44,9,67,,21651,6606,WesternPacific
Guyana,South America,786512,215,,12,,108,,95,1,273,15,2355,2994,Americas
Angola,Africa,32841235,212,,10,,81,,121,1,6,0.3,10000,304,Africa
Cayman Islands,North America,65711,196,,1,,186,,9,,2983,15,22657,344798,
Faeroe Islands,Europe,48861,187,,,,187,,0,,3827,,12750,260944,
Guadeloupe,North America,400123,182,,14,,157,,11,2,455,35,8239,20591,
Gibraltar,Europe,33691,176,,,,176,,0,,5224,,12057,357870,
Eritrea,Africa,3545675,167,,,,53,,114,,47,,,,Africa
Bermuda,North America,62279,146,,9,,133,,4,1,2344,145,10634,170748,Americas
Burundi,Africa,11882372,144,,1,,93,,50,,12,0.08,382,32,Africa
Brunei ,Asia,437425,141,,3,,138,,0,,322,7,28395,64914,
Cambodia,Asia,16715449,139,9,,,129,1,10,1,8,,34316,2053,WesternPacific
Trinidad and Tobago,North America,1399444,124,,8,,109,,7,,89,6,4861,3474,Americas
Namibia,Africa,2540103,121,,,,22,,99,1,48,,8180,3220,Africa
Bahamas,North America,393195,104,,11,,84,,9,1,264,28,2366,6017,Americas
Monaco,Europe,39239,102,,4,,95,,3,,2599,102,16200,412855,Europe
Aruba,North America,106761,101,,3,,98,,0,,946,28,2333,21853,
Barbados,North America,287372,97,,7,,90,,0,1,338,24,7675,26708,Americas
Botswana,Africa,2350747,92,,1,,25,,66,1,39,0.4,36868,15684,Africa
Liechtenstein,Europe,38127,82,,1,,81,,0,,2151,26,900,23605,Europe
Sint Maarten,North America,42869,77,,15,,62,,0,,1796,350,477,11127,
Bhutan,Asia,771491,70,,,,38,,32,,91,,23988,31093,South-EastAsia
Antigua and Barbuda,North America,97919,65,,3,,22,,40,1,664,31,680,6945,Americas
French Polynesia,Australia/Oceania,280890,60,,,,60,,0,,214,,4649,16551,
Macao,Asia,649201,46,,,,45,,1,,71,,,,
Gambia,Africa,2415119,43,,2,,26,,15,,18,0.8,2035,843,Africa
Saint Martin,North America,38655,42,,3,,36,,3,1,1087,78,685,17721,
St. Vincent Grenadines,North America,110937,29,,,,29,,0,,261,,784,7067,
Belize,North America,397502,24,1,2,,18,1,4,,60,5,2188,5504,Americas
Lesotho,Africa,2142043,24,,,,4,,20,,11,,3000,1401,Africa
Timor-Leste,Asia,1317995,24,,,,24,,0,,18,,1568,1190,South-EastAsia
Curaçao,North America,164086,23,,1,,19,,3,,140,6,1080,6582,
Grenada,North America,112518,23,,,,23,,0,,204,,4130,36705,Americas
New Caledonia,Australia/Oceania,285462,21,,,,21,,0,,74,,8260,28936,
Laos,Asia,7273919,19,,,,19,,0,,3,,14161,1947,WesternPacific
Saint Lucia,North America,183618,19,,,,19,,0,,103,,1619,8817,Americas
Dominica,North America,71984,18,,,,18,,0,,250,,623,8655,Americas
Fiji,Australia/Oceania,896368,18,,,,18,,0,,20,,4000,4462,WesternPacific
Turks and Caicos,North America,38709,16,,1,,11,,4,,413,26,444,11470,
Saint Kitts and Nevis,North America,53195,15,,,,15,,0,,282,,447,8403,Americas
Falkland Islands,South America,3478,13,,,,13,,0,,3738,,1027,295285,
Greenland,North America,56769,13,,,,13,,0,,229,,3341,58853,Europe
Vatican City,Europe,801,12,,,,12,,0,,14981,,,,Europe
Montserrat,North America,4992,11,,1,,10,,0,,2204,200,61,12220,
Papua New Guinea,Australia/Oceania,8943994,11,,,,8,,3,,1,,5637,630,WesternPacific
Seychelles,Africa,98340,11,,,,11,,0,,112,,,,Africa
Western Sahara,Africa,597032,10,,1,,8,,1,,17,2,,,Africa
MS Zaandam,,,9,,2,,,,7,,,,,,
